primary_employer_name,alias_name,alias_type,usage_count
"CC SERVICES, INC",COUNTRY FINANCIAL,TRADE_NAME_DBA,28
"JAMES R. GLIDEWELL DENTAL CERAMICS, INC",GLIDEWELL LABORATORIES,TRADE_NAME_DBA,28
"ETEK IT SOLUTIONS, INC",N / A,TRADE_NAME_DBA,28
"MEDICAL MANAGEMENT INTERNATIONAL, INC",BANFIELD PET HOSPITAL,TRADE_NAME_DBA,27
CALIFORNIA PHYSICIANS' SERVICE,BLUE SHIELD OF CALIFORNIA,TRADE_NAME_DBA,27
"RE:CAR, INC",SLATE,TRADE_NAME_DBA,27
ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP,ADVENTHEALTH,TRADE_NAME_DBA,27
"ESHARES, INC","CARTA, INC",TRADE_NAME_DBA,27
"B/E AEROSPACE, INC",COLLINS AEROSPACE,TRADE_NAME_DBA,27
INDEPENDENT SCHOOL DISTRICT NUMBER 623,SAINT PAUL PUBLIC SCHOOLS,TRADE_NAME_DBA,27
"PARTICLE MEDIA, INC",NEWSBREAK,TRADE_NAME_DBA,27
GCOM SOFTWARE LLC,VOYATEK,TRADE_NAME_DBA,27
FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY D/B/A FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,TRADE_NAME_DBA,26
"FISHER ASSET MANAGEMENT, LLC",FISHER INVESTMENTS,TRADE_NAME_DBA,26
ICLOUD TECHNOLOGIES CORP,ICT CORP,TRADE_NAME_DBA,26
SERVESYS CORPORATION,SERVSYS CORPORATION,TRADE_NAME_DBA,26
VENNISON TECHNOLOGIES INC,SAME AS ABOVE,TRADE_NAME_DBA,26
"FLORIDA HOSPITAL MEDICAL GROUP, INC",ADVENTHEALTH MEDICAL GROUP,TRADE_NAME_DBA,26
THE OHIO UNIVERSITY,OHIO UNIVERSITY,TRADE_NAME_DBA,26
HUDSON RIVER TRADING LLC,HRT LLC,TRADE_NAME_DBA,26
CALIFORNIA AIR RESOURCES BOARD,AIR RESOURCES BOARD,TRADE_NAME_DBA,26
"UPSTATE CEREBRAL PALSY, INC",UPSTATE CARING PARTNERS,TRADE_NAME_DBA,26
TATA ELXSI LTD,TATA ELXSI,TRADE_NAME_DBA,26
"SE2, LLC",ZINNIA,TRADE_NAME_DBA,26
NEW YORK SOCIETY FOR RELIEF OF RUPTURED & CRIPPLED,HOSPITAL FOR SPECIAL SURGERY,TRADE_NAME_DBA,25
COLUMBIA UNIVERSITY,NOT APPLICABLE,TRADE_NAME_DBA,25
EVEREST COMPUTERS INC,EVEREST TECHNOLOGIES,TRADE_NAME_DBA,25
"PINNACLE TECHNICAL RESOURCES, INC",PINNACLE GROUP,TRADE_NAME_DBA,25
LSU AGRICULTURAL CENTER,LSU AGCENTER,TRADE_NAME_DBA,25
"CHILDREN'S CRISIS TREATMENT CENTER, INC",CHILDREN'S CRISIS TREATMENT CENTER (CCTC),TRADE_NAME_DBA,25
"SVK TECHNOLOGY SOLUTIONS, INC",SVK INFORMATION SYSTEMS,TRADE_NAME_DBA,25
VAK IT SYSTEMS INC,VTEAM IT,TRADE_NAME_DBA,25
"INSPERITY SERVICES, L.P.",INSPERITY,TRADE_NAME_DBA,25
"TEK NINJAS SOLUTIONS,LLC.",TEK NINJAS,TRADE_NAME_DBA,25
ERIE INDEMNITY COMPANY,ERIE INSURANCE,TRADE_NAME_DBA,25
MARSHALL UNIVERSITY,MARSHALL UNIVERSITY (SCHOOL OF MEDICINE),TRADE_NAME_DBA,25
